Index,Timestamp,UTCdate,Volume,Ask.c,Ask.h,Ask.o,Ask.l,Bid.c,Bid.h,Bid.o,Bid.l,Mid.c,Mid.h,Mid.o,Mid.l,
0,1497948155.0,2017-06-20 08:42:35,3,0.87888,0.87888,0.87884,0.87884,0.87896,0.87896,0.87891,0.87891,0.87881,0.87881,0.87876,0.87876,
1,1497948165.0,2017-06-20 08:42:45,1,0.87891,0.87891,0.87891,0.87891,0.87898,0.87898,0.87898,0.87898,0.87883,0.87883,0.87883,0.87883,
2,1497948170.0,2017-06-20 08:42:50,1,0.87889,0.87889,0.87889,0.87889,0.87895,0.87895,0.87895,0.87895,0.87882,0.87882,0.87882,0.87882,
3,1497948180.0,2017-06-20 08:43:00,2,0.87884,0.87886,0.87886,0.87884,0.87891,0.87895,0.87895,0.87891,0.87876,0.87877,0.87877,0.87876,
4,1497948190.0,2017-06-20 08:43:10,1,0.87886,0.87886,0.87886,0.87886,0.87893,0.87893,0.87893,0.87893,0.87879,0.87879,0.87879,0.87879,
5,1497948200.0,2017-06-20 08:43:20,1,0.87884,0.87884,0.87884,0.87884,0.87891,0.87891,0.87891,0.87891,0.87876,0.87876,0.87876,0.87876,
6,1497948205.0,2017-06-20 08:43:25,1,0.87881,0.87881,0.87881,0.87881,0.87889,0.87889,0.87889,0.87889,0.87874,0.87874,0.87874,0.87874,
7,1497948210.0,2017-06-20 08:43:30,1,0.87884,0.87884,0.87884,0.87884,0.87891,0.87891,0.87891,0.87891,0.87876,0.87876,0.87876,0.87876,
8,1497948215.0,2017-06-20 08:43:35,9,0.87874,0.87886,0.87886,0.8787,0.87881,0.87894,0.87894,0.87877,0.87866,0.87878,0.87878,0.87862,
9,1497948220.0,2017-06-20 08:43:40,6,0.87888,0.87888,0.87877,0.87877,0.87896,0.87896,0.87884,0.87884,0.87881,0.87881,0.87869,0.87869,
10,1497948225.0,2017-06-20 08:43:45,1,0.87886,0.87886,0.87886,0.87886,0.87893,0.87893,0.87893,0.87893,0.87879,0.87879,0.87879,0.87879,
11,1497948230.0,2017-06-20 08:43:50,1,0.87883,0.87883,0.87883,0.87883,0.87891,0.87891,0.87891,0.87891,0.87875,0.87875,0.87875,0.87875,
12,1497948260.0,2017-06-20 08:44:20,1,0.87881,0.87881,0.87881,0.87881,0.87889,0.87889,0.87889,0.87889,0.87873,0.87873,0.87873,0.87873,
13,1497948270.0,2017-06-20 08:44:30,1,0.87879,0.87879,0.87879,0.87879,0.87887,0.87887,0.87887,0.87887,0.87871,0.87871,0.87871,0.87871,
14,1497948285.0,2017-06-20 08:44:45,2,0.87874,0.87877,0.87877,0.87874,0.87882,0.87884,0.87884,0.87882,0.87867,0.87869,0.87869,0.87867,
15,1497948295.0,2017-06-20 08:44:55,1,0.87872,0.87872,0.87872,0.87872,0.8788,0.8788,0.8788,0.8788,0.87865,0.87865,0.87865,0.87865,
16,1497948305.0,2017-06-20 08:45:05,1,0.8787,0.8787,0.8787,0.8787,0.87876,0.87876,0.87876,0.87876,0.87863,0.87863,0.87863,0.87863,
17,1497948310.0,2017-06-20 08:45:10,3,0.87862,0.87867,0.87867,0.87862,0.8787,0.87874,0.87874,0.8787,0.87855,0.8786,0.8786,0.87855,
18,1497948340.0,2017-06-20 08:45:40,1,0.8786,0.8786,0.8786,0.8786,0.87867,0.87867,0.87867,0.87867,0.87852,0.87852,0.87852,0.87852,
19,1497948345.0,2017-06-20 08:45:45,2,0.87859,0.87859,0.87857,0.87857,0.87867,0.87867,0.87864,0.87864,0.87851,0.87851,0.8785,0.8785,
20,1497948365.0,2017-06-20 08:46:05,3,0.87865,0.87865,0.87861,0.87861,0.87872,0.87872,0.87869,0.87869,0.87859,0.87859,0.87853,0.87853,
21,1497948370.0,2017-06-20 08:46:10,1,0.87868,0.87868,0.87868,0.87868,0.87875,0.87875,0.87875,0.87875,0.8786,0.8786,0.8786,0.8786,
22,1497948405.0,2017-06-20 08:46:45,3,0.87861,0.87865,0.87865,0.87861,0.87868,0.87873,0.87873,0.87868,0.87854,0.87858,0.87858,0.87854,
23,1497948415.0,2017-06-20 08:46:55,1,0.87859,0.87859,0.87859,0.87859,0.87866,0.87866,0.87866,0.87866,0.87852,0.87852,0.87852,0.87852,
24,1497948420.0,2017-06-20 08:47:00,1,0.87857,0.87857,0.87857,0.87857,0.87864,0.87864,0.87864,0.87864,0.8785,0.8785,0.8785,0.8785,
25,1497948430.0,2017-06-20 08:47:10,4,0.87848,0.87855,0.87855,0.87848,0.87856,0.87862,0.87862,0.87856,0.87839,0.87848,0.87848,0.87839,
26,1497948440.0,2017-06-20 08:47:20,1,0.8785,0.8785,0.8785,0.8785,0.87857,0.87857,0.87857,0.87857,0.87842,0.87842,0.87842,0.87842,
27,1497948445.0,2017-06-20 08:47:25,1,0.87848,0.87848,0.87848,0.87848,0.87856,0.87856,0.87856,0.87856,0.87839,0.87839,0.87839,0.87839,
28,1497948450.0,2017-06-20 08:47:30,3,0.87846,0.87846,0.87845,0.87843,0.87854,0.87854,0.87854,0.87851,0.87838,0.87838,0.87837,0.87835,
29,1497948460.0,2017-06-20 08:47:40,1,0.87848,0.87848,0.87848,0.87848,0.87857,0.87857,0.87857,0.87857,0.8784,0.8784,0.8784,0.8784,
30,1497948465.0,2017-06-20 08:47:45,2,0.87854,0.87854,0.87851,0.87851,0.87861,0.87861,0.87858,0.87858,0.87846,0.87846,0.87843,0.87843,
