Index,InstrumentName,Timestamp,UTCdate,Volume,Ask.c,Ask.h,Ask.o,Ask.l,Bid.c,Bid.h,Bid.o,Bid.l,Mid.c,Mid.h,Mid.o,Mid.l,
1,EUR_GBP,1499837315.0,2017-07-12 05:28:35,1,0.89343,0.89343,0.89343,0.89343,0.89353,0.89353,0.89353,0.89353,0.89334,0.89334,0.89334,0.89334,
2,EUR_GBP,1499837340.0,2017-07-12 05:29:00,1,0.89343,0.89343,0.89341,0.89341,0.89353,0.89353,0.8935,0.8935,0.89334,0.89334,0.89333,0.89333,
3,EUR_GBP,1499837350.0,2017-07-12 05:29:10,2,0.89341,0.89341,0.89337,0.89337,0.8935,0.8935,0.89346,0.89346,0.89333,0.89333,0.89328,0.89328,
4,EUR_GBP,1499837375.0,2017-07-12 05:29:35,3,0.89337,0.89337,0.8933,0.8933,0.89346,0.89346,0.89339,0.89339,0.89328,0.89328,0.89322,0.89322,
5,EUR_GBP,1499837380.0,2017-07-12 05:29:40,1,0.8933,0.8933,0.89328,0.89328,0.89339,0.89339,0.89337,0.89337,0.89322,0.89322,0.89319,0.89319,
